年度,月份,度數(千度)
95,01,39339
95,02,67603
95,03,54878
95,04,28338
95,05,28495
95,06,77019
95,07,83965
95,08,77378
95,09,74905
95,10,82516
95,11,40409
95,12,40409
96,01,52496
96,02,66454
96,03,70951
96,04,54414
96,05,47788
96,06,61428
96,07,101900
96,08,121619
96,09,127360
96,10,130401
96,11,57307
96,12,57307
97,01,56752
97,02,82811
97,03,58912
97,04,45036
97,05,57125
97,06,92003
97,07,73166
97,08,93350
97,09,125554
97,10,114331
97,11,30231
97,12,43008
98,01,21050
98,02,85459
98,03,63322
98,04,38360
98,05,56053
98,06,37355
98,07,74567
98,08,84769
98,09,71567
98,10,132073
98,11,72231
98,12,35674
99,01,39762
99,02,63082
99,03,66161
99,04,37340
99,05,40275
99,06,53470
99,07,79152
99,08,61996
99,09,61202
99,10,95558
99,11,89898
99,12,48047
100,01,41459
100,02,36329
100,03,48854
100,04,47088
100,05,40276
100,06,73110
100,07,93007
100,08,119260
100,09,78909
100,10,106546
100,11,102190
100,12,93731
101,01,70269
101,02,66633
101,03,82836
101,04,57486
101,05,74546
101,06,95059
101,07,79856
101,08,134867
101,09,79223
101,10,92967
101,11,59324
101,12,67805
102,01,70279
102,02,57090
102,03,51892
102,04,44879
102,05,82160
102,06,64733
102,07,91191
102,08,89367
102,09,95627
102,10,105770
102,11,70751
102,12,37721
103,01,29283
103,02,64519
103,03,54461
103,04,39149
103,05,65665
103,06,93878
103,07,91909
103,08,73785
103,09,66362
103,10,59829
103,11,24605
103,12,23112
104,01,19142
104,02,36132
104,03,32018
104,04,9993
104,05,27482
104,06,40691
104,07,73465
104,08,130313
104,09,117451
104,10,106189
104,11,71673
104,12,27579
105,01,50415
105,02,95639
105,03,99198
105,04,86780
105,05,95068
105,06,91290
105,07,120647
105,08,104868
105,09,93537
105,10,105963
105,11,49165
105,12,16034
106,01,32082
106,02,58710
106,03,55125
106,04,43345
106,05,63677
106,06,135236
106,07,113755
106,08,94316
106,09,78161
106,10,97021
106,11,70674
106,12,57627
107,01,74721
107,02,99310
107,03,80522
107,04,51226
107,05,44449
107,06,38052
107,07,78975
107,08,85089
107,09,98708
107,10,139299
107,11,139312
107,12,138091
108,01,63779
108,02,58400
108,03,52139
108,04,57369
108,05,69047
108,06,93362
108,07,149942
108,08,119275
108,09,94946
108,10,100632
108,11,50399
108,12,33075
109,01,39653
109,02,64997
109,03,55193
109,04,36125
109,05,51937
109,06,72775
109,07,72140
109,08,48454
109,09,45481
109,10,49731
109,11,16203
109,12,50642
110,01,33266
110,02,28717
110,03,26828
110,04,30812
110,05,31584
110,06,37920
110,07,77623
110,08,132260
110,09,99834
110,10,118786
110,11,78114
110,12,34550
111,01,47740
111,02,69838
111,03,65015
111,04,61408
111,05,72626
111,06,106544
111,07,82863
111,08,54633
111,09,93414
111,10,98098
111,11,102094
111,12,67307
112,01,44003
112,02,25356
112,03,49480
112,04,28590
112,05,29527
112,06,43678
112,07,56777
112,08,65858
112,09,76021
112,10,46638
112,11,28339
112,12,25395
113,01,34169
113,02,56035
113,03,24233
